18,Buy,8/11/14 11:00, Buy ,@CL,$109.25 ,$0.00 ,1,($150.38),-0.12%,$520.00 ,67.53%,,$0.19 ,$10.00 
,Sell,8/11/14 17:00,Exit Long,@CL,$109.12 ,,($130.00),"$6,123.16 ",,($250.00),15.58%,-16.88%,$0.19 ,$10.00 
19,Sell Short,8/13/14 12:00, Sell ,@CL,$108.12 ,$0.00 ,1,($500.38),-0.44%,$180.00 ,27.27%,,$0.19 ,$10.00 
,Buy to Cover,8/13/14 13:00,Stop Loss,@CL,$108.60 ,,($480.00),"$5,622.78 ",,($480.00),0.00%,-72.73%,$0.19 ,$10.00 
20,Sell Short,8/14/14 11:00, Sell ,@CL,$108.22 ,$0.00 ,1,$899.62 ,0.85%,"$1,770.00 ",97.79%,,$0.19 ,$10.00 
,Buy to Cover,8/15/14 11:00,Exit Short,@CL,$107.30 ,,$920.00 ,"$6,522.40 ",,($40.00),53.04%,50.83%,$0.19 ,$10.00 
21,Buy,8/25/14 7:00, Buy ,@CL,$106.97 ,$0.00 ,1,($220.38),-0.19%,$200.00 ,50.00%,,$0.19 ,$10.00 
,Sell,8/25/14 10:00,Stop Loss,@CL,$106.77 ,,($200.00),"$6,302.02 ",,($200.00),0.00%,-50.00%,$0.19 ,$10.00 
22,Sell Short,8/25/14 11:00, Sell ,@CL,$106.37 ,$0.00 ,1,($400.38),-0.36%,$100.00 ,20.83%,,$0.19 ,$10.00 
,Buy to Cover,8/25/14 12:00,Stop Loss,@CL,$106.75 ,,($380.00),"$5,901.64 ",,($380.00),0.00%,-79.17%,$0.19 ,$10.00 
23,Sell Short,8/26/14 13:00, Sell ,@CL,$106.74 ,$0.00 ,1,($620.38),-0.56%,$170.00 ,22.08%,,$0.19 ,$10.00 
,Buy to Cover,8/27/14 4:00,Stop Loss,@CL,$107.34 ,,($600.00),"$5,281.26 ",,($600.00),0.00%,-77.92%,$0.19 ,$10.00 
24,Buy,8/28/14 10:00, Buy ,@CL,$107.32 ,$0.00 ,1,"$1,459.62 ",1.38%,"$1,900.00 ",88.79%,,$0.19 ,$10.00 
,Sell,9/1/14 5:00,Exit Long,@CL,$108.80 ,,"$1,480.00 ","$6,740.88 ",,($240.00),80.37%,69.16%,$0.19 ,$10.00 
25,Sell Short,9/5/14 9:00, Sell ,@CL,$107.64 ,$0.00 ,1,"$1,639.62 ",1.54%,"$2,620.00 ",90.97%,,$0.19 ,$10.00 
,Buy to Cover,9/8/14 16:00,Exit Short,@CL,$105.98 ,,"$1,660.00 ","$8,380.50 ",,($260.00),66.67%,57.64%,$0.19 ,$10.00 
26,Sell Short,9/10/14 9:00, Sell ,@CL,$105.64 ,$0.00 ,1,$749.62 ,0.73%,"$1,990.00 ",85.78%,,$0.19 ,$10.00 
,Buy to Cover,9/11/14 11:00,Exit Short,@CL,$104.87 ,,$770.00 ,"$9,130.12 ",,($330.00),47.41%,33.19%,$0.19 ,$10.00 
27,Buy,9/24/14 15:00, Buy ,@CL,$106.40 ,$0.00 ,1,$409.62 ,0.40%,"$1,580.00 ",99.37%,,$0.19 ,$10.00 
,Sell,9/25/14 12:00,Exit Long,@CL,$106.83 ,,$430.00 ,"$9,539.74 ",,($10.00),27.67%,27.04%,$0.19 ,$10.00 
28,Buy,9/29/14 12:00, Buy ,@CL,$107.98 ,$0.00 ,1,$109.62 ,0.12%,"$1,360.00 ",93.79%,,$0.19 ,$10.00 
,Sell,9/30/14 11:00,Exit Long,@CL,$108.11 ,,$130.00 ,"$9,649.36 ",,($90.00),15.17%,8.97%,$0.19 ,$10.00 
29,Sell Short,10/6/14 12:00, Sell ,@CL,$103.61 ,$0.00 ,1,($640.38),-0.60%,$120.00 ,15.38%,,$0.19 ,$10.00 
,Buy to Cover,10/6/14 14:00,Exit Short,@CL,$104.23 ,,($620.00),"$9,008.98 ",,($660.00),5.13%,-79.49%,$0.19 ,$10.00 
30,Sell Short,10/9/14 7:00, Sell ,@CL,$101.75 ,$0.00 ,1,"$2,749.62 ",2.72%,"$3,720.00 ",97.38%,,$0.19 ,$10.00 
,Buy to Cover,10/10/14 5:00,Exit Short,@CL,$98.98 ,,"$2,770.00 ","$11,758.60 ",,($100.00),75.13%,72.51%,$0.19 ,$10.00 
31,Sell Short,10/14/14 11:00, Sell ,@CL,$98.85 ,$0.00 ,1,"$2,089.62 ",2.13%,"$4,400.00 ",94.22%,,$0.19 ,$10.00 
,Buy to Cover,10/15/14 11:00,Exit Short,@CL,$96.74 ,,"$2,110.00 ","$13,848.22 ",,($270.00),50.96%,45.18%,$0.19 ,$10.00 
32,Buy,10/22/14 9:00, Buy ,@CL,$98.05 ,$0.00 ,1,($500.38),-0.49%,$290.00 ,37.66%,,$0.19 ,$10.00 
,Sell,10/22/14 11:00,Stop Loss,@CL,$97.57 ,,($480.00),"$13,347.84 ",,($480.00),0.00%,-62.34%,$0.19 ,$10.00 
33,Sell Short,10/27/14 8:00, Sell ,@CL,$95.67 ,$0.00 ,1,($380.38),-0.38%,"$1,040.00 ",74.29%,,$0.19 ,$10.00 
,Buy to Cover,10/27/14 12:00,Stop Loss,@CL,$96.03 ,,($360.00),"$12,967.46 ",,($360.00),0.00%,-25.71%,$0.19 ,$10.00 
34,Sell Short,11/12/14 16:00, Sell ,@CL,$91.95 ,$0.00 ,1,"$2,429.62 ",2.66%,"$3,510.00 ",89.77%,,$0.19 ,$10.00 
,Buy to Cover,11/14/14 6:00,Exit Short,@CL,$89.50 ,,"$2,450.00 ","$15,397.08 ",,($400.00),72.89%,62.66%,$0.19 ,$10.00 
35,Buy,11/20/14 11:00, Buy ,@CL,$90.22 ,$0.00 ,1,"$1,059.62 ",1.20%,"$1,750.00 ",86.63%,,$0.19 ,$10.00 
,Sell,11/21/14 4:00,Exit Long,@CL,$91.30 ,,"$1,080.00 ","$16,456.70 ",,($270.00),66.83%,53.47%,$0.19 ,$10.00 
36,Sell Short,12/3/14 8:00, Sell ,@CL,$82.14 ,$0.00 ,1,($570.38),-0.67%,$90.00 ,14.06%,,$0.19 ,$10.00 
,Buy to Cover,12/3/14 9:00,Stop Loss,@CL,$82.69 ,,($550.00),"$15,886.32 ",,($550.00),0.00%,-85.94%,$0.19 ,$10.00 
37,Sell Short,12/3/14 13:00, Sell ,@CL,$82.23 ,$0.00 ,1,($870.38),-1.03%,$260.00 ,23.42%,,$0.19 ,$10.00 
,Buy to Cover,12/4/14 0:00,Stop Loss,@CL,$83.08 ,,($850.00),"$15,015.94 ",,($850.00),0.00%,-76.58%,$0.19 ,$10.00 
38,Sell Short,12/4/14 7:00, Sell ,@CL,$82.49 ,$0.00 ,1,"$1,089.62 ",1.35%,"$2,150.00 ",93.48%,,$0.19 ,$10.00 
,Buy to Cover,12/5/14 14:00,Exit Short,@CL,$81.38 ,,"$1,110.00 ","$16,105.56 ",,($150.00),54.78%,48.26%,$0.19 ,$10.00 
39,Sell Short,12/26/14 11:00, Sell ,@CL,$70.56 ,$0.00 ,1,$359.62 ,0.54%,"$1,210.00 ",87.68%,,$0.19 ,$10.00 
,Buy to Cover,12/28/14 21:00,Exit Short,@CL,$70.18 ,,$380.00 ,"$16,465.18 ",,($170.00),39.86%,27.54%,$0.19 ,$10.00 
40,Buy,1/14/15 15:00, Buy ,@CL,$61.20 ,$0.00 ,1,"$1,889.62 ",3.12%,"$3,230.00 ",99.69%,,$0.19 ,$10.00 
,Sell,1/14/15 22:00,Exit Long,@CL,$63.11 ,,"$1,910.00 ","$18,354.80 ",,($10.00),59.26%,58.95%,$0.19 ,$10.00 
41,Buy,1/22/15 7:00, Buy ,@CL,$62.20 ,$0.00 ,1,($280.38),-0.42%,"$1,250.00 ",80.13%,,$0.19 ,$10.00 
,Sell,1/22/15 10:00,Exit Long,@CL,$61.94 ,,($260.00),"$18,074.42 ",,($310.00),3.21%,-16.67%,$0.19 ,$10.00 
42,Sell Short,1/28/15 10:00, Sell ,@CL,$59.56 ,$0.00 ,1,($410.38),-0.65%,$680.00 ,63.55%,,$0.19 ,$10.00 
,Buy to Cover,1/28/15 12:00,Stop Loss,@CL,$59.95 ,,($390.00),"$17,664.04 ",,($390.00),0.00%,-36.45%,$0.19 ,$10.00 
43,Buy,2/16/15 8:00, Buy ,@CL,$67.46 ,$0.00 ,1,($580.38),-0.83%,$450.00 ,44.55%,,$0.19 ,$10.00 
,Sell,2/17/15 9:00,Stop Loss,@CL,$66.90 ,,($560.00),"$17,083.66 ",,($560.00),0.00%,-55.45%,$0.19 ,$10.00 
44,Sell Short,2/20/15 16:00, Sell ,@CL,$64.59 ,$0.00 ,1,"$1,199.62 ",1.89%,"$2,240.00 ",96.55%,,$0.19 ,$10.00 
,Buy to Cover,2/23/15 12:00,Exit Short,@CL,$63.37 ,,"$1,220.00 ","$18,283.28 ",,($80.00),56.03%,52.59%,$0.19 ,$10.00 
45,Sell Short,3/2/15 8:00, Sell ,@CL,$62.42 ,$0.00 ,1,($430.38),-0.66%,$30.00 ,6.82%,,$0.19 ,$10.00 
,Buy to Cover,3/2/15 9:00,Stop Loss,@CL,$62.83 ,,($410.00),"$17,852.90 ",,($410.00),0.00%,-93.18%,$0.19 ,$10.00 
46,Buy,3/4/15 15:00, Buy ,@CL,$64.78 ,$0.00 ,1,$119.62 ,0.22%,"$1,300.00 ",99.24%,,$0.19 ,$10.00 
,Sell,3/5/15 10:00,Exit Long,@CL,$64.92 ,,$140.00 ,"$17,972.52 ",,($10.00),11.45%,10.69%,$0.19 ,$10.00 
47,Sell Short,3/20/15 8:00, Sell ,@CL,$56.74 ,$0.00 ,1,($410.38),-0.69%,$230.00 ,37.10%,,$0.19 ,$10.00 
,Buy to Cover,3/20/15 9:00,Stop Loss,@CL,$57.13 ,,($390.00),"$17,562.14 ",,($390.00),0.00%,-62.90%,$0.19 ,$10.00 
48,Buy,3/25/15 10:00, Buy ,@CL,$59.49 ,$0.00 ,1,"$3,169.62 ",5.36%,"$4,680.00 ",91.76%,,$0.19 ,$10.00 
,Sell,3/26/15 8:00,Exit Long,@CL,$62.68 ,,"$3,190.00 ","$20,731.76 ",,($420.00),70.78%,62.55%,$0.19 ,$10.00 
49,Sell Short,4/9/15 16:00, Sell ,@CL,$62.49 ,$0.00 ,1,($30.38),-0.02%,$720.00 ,80.90%,,$0.19 ,$10.00 
,Buy to Cover,4/10/15 9:00,Exit Short,@CL,$62.50 ,,($10.00),"$20,701.38 ",,($170.00),17.98%,-1.12%,$0.19 ,$10.00 
50,Buy,4/14/15 11:00, Buy ,@CL,$64.57 ,$0.00 ,1,"$3,009.62 ",4.69%,"$3,810.00 ",93.84%,,$0.19 ,$10.00 
,Sell,4/16/15 5:00,Exit Long,@CL,$67.60 ,,"$3,030.00 ","$23,711.00 ",,($250.00),80.79%,74.63%,$0.19 ,$10.00 
51,Buy,4/17/15 11:00, Buy ,@CL,$68.40 ,$0.00 ,1,($650.38),-0.92%,$230.00 ,26.74%,,$0.19 ,$10.00 
,Sell,4/17/15 12:00,Stop Loss,@CL,$67.77 ,,($630.00),"$23,060.62 ",,($630.00),0.00%,-73.26%,$0.19 ,$10.00 
52,Buy,4/20/15 12:00, Buy ,@CL,$68.60 ,$0.00 ,1,($700.38),-0.99%,$130.00 ,14.13%,,$0.19 ,$10.00 
,Sell,4/20/15 15:00,Exit Long,@CL,$67.92 ,,($680.00),"$22,360.24 ",,($790.00),11.96%,-73.91%,$0.19 ,$10.00 
53,Sell Short,4/27/15 7:00, Sell ,@CL,$67.11 ,$0.00 ,1,($450.38),-0.64%,$100.00 ,18.87%,,$0.19 ,$10.00 
